2025-07-22 10:15:35 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:15:35 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:15:35 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:19:23 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:19:23 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:19:23 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:19:23 | INFO     | __main__:main:21 | 🚀 Запуск Fitness CRM...
2025-07-22 10:19:37 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:19:37 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:19:37 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:19:59 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:19:59 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:19:59 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:20:07 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:20:07 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:20:07 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:20:50 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:20:50 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:20:50 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:21:09 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:21:09 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:21:09 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:21:41 | INFO     | config.logger:log_startup:90 | 🚀 Fitness CRM запущено
2025-07-22 10:21:41 | INFO     | config.logger:log_startup:91 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 10:21:41 | INFO     | config.logger:log_startup:92 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 10:21:41 | INFO     | __main__:main:21 | 🚀 Запуск Fitness CRM...
2025-07-22 10:21:41 | INFO     | __main__:main:36 | 📱 Додаток: Fitness CRM v1.0.0
